id,satisfaction
19556,0.0
90035,0.0
12360,1.0
77959,1.0
36875,0.0
39177,1.0
79433,0.0
97286,1.0
27508,0.0
62482,0.0
47583,1.0
115550,0.0
119987,0.0
42141,1.0
2274,1.0
22470,1.0
124915,0.0
17836,1.0
76872,0.0
64287,0.0
63995,1.0
75855,0.0
106181,0.0
44304,1.0
82602,1.0
7823,1.0
127781,0.0
34501,0.0
121658,0.0
20219,0.0
67551,1.0
48994,0.0
70811,1.0
75241,1.0
12312,0.0
48372,1.0
51477,1.0
84204,1.0
70990,0.0
101991,0.0
87447,1.0
16112,0.0
16172,1.0
106558,1.0
11536,1.0
47773,0.0
70521,0.0
96283,0.0
117993,0.0
74703,0.0
110840,1.0
88249,0.0
125877,0.0
83968,1.0
122719,0.0
3949,0.0
45542,1.0
43742,0.0
122093,1.0
121454,1.0
738,1.0
75235,1.0
88653,1.0
26594,0.0
38339,0.0
46063,1.0
27957,1.0
17270,0.0
87976,0.0
31640,0.0
41461,0.0
15143,1.0
78136,0.0
120433,1.0
41440,0.0
15963,1.0
64303,0.0
3608,0.0
7744,0.0
21276,0.0
58576,0.0
53888,0.0
10980,1.0
54151,0.0
115641,0.0
58584,0.0
50472,0.0
102623,0.0
31533,0.0
42287,0.0
70467,1.0
20461,0.0
113346,1.0
115566,1.0
119896,0.0
88853,0.0
24895,0.0
31122,0.0
91231,0.0
61426,1.0
68873,0.0
125701,0.0
94999,0.0
56694,1.0
62010,1.0
95868,1.0
123064,0.0
103418,1.0
73456,0.0
8851,0.0
64241,0.0
81723,1.0
88237,1.0
50619,0.0
54444,0.0
64765,1.0
15941,0.0
14965,0.0
36897,0.0
127954,0.0
27872,1.0
35854,1.0
14527,1.0
47021,1.0
11224,0.0
3921,0.0
69463,0.0
47050,0.0
21970,1.0
30046,0.0
1256,1.0
73813,0.0
110928,1.0
102981,0.0
61571,1.0
3796,0.0
73906,0.0
74090,0.0
76645,0.0
100462,0.0
54164,0.0
6147,0.0
1262,0.0
20310,0.0
46896,0.0
7237,0.0
44293,0.0
52496,0.0
68263,1.0
5289,1.0
109359,1.0
94988,0.0
53605,0.0
11005,0.0
14794,0.0
49480,1.0
120440,0.0
55823,0.0
107792,1.0
80531,0.0
128145,1.0
63370,0.0
12452,1.0
16145,0.0
44418,0.0
95746,1.0
41134,0.0
3214,0.0
74101,1.0
106220,0.0
88134,1.0
64475,1.0
123812,1.0
88893,0.0
31244,1.0
97762,1.0
59851,1.0
25137,0.0
18412,0.0
87192,0.0
127062,0.0
112169,1.0
127798,1.0
91778,0.0
42609,1.0
67482,1.0
91108,1.0
102318,0.0
51281,1.0
6528,1.0
121232,1.0
72478,0.0
122788,1.0
5528,0.0
107726,1.0
72606,0.0
75522,1.0
125687,0.0
79908,0.0
117345,0.0
73465,0.0
95851,0.0
44992,1.0
70631,0.0
13761,0.0
74968,1.0
12371,0.0
8378,1.0
82080,1.0
107972,0.0
101228,0.0
85577,0.0
2717,1.0
88529,1.0
91613,0.0
88865,1.0
96960,1.0
51191,1.0
9461,0.0
66384,0.0
41934,1.0
25381,0.0
14757,1.0
94013,1.0
80107,0.0
23590,1.0
110384,1.0
15069,0.0
17128,1.0
54060,0.0
129240,0.0
97165,1.0
111696,1.0
1887,1.0
89086,0.0
35485,0.0
35719,1.0
85669,1.0
1137,0.0
8358,1.0
17217,1.0
44847,0.0
96673,0.0
80152,0.0
82277,1.0
123927,1.0
115766,0.0
21134,1.0
112062,0.0
28643,0.0
108010,0.0
92145,0.0
115846,1.0
99685,0.0
112072,0.0
119226,1.0
115925,0.0
106552,1.0
25126,1.0
33426,0.0
125844,0.0
70328,0.0
88847,1.0
108398,0.0
97316,0.0
124811,0.0
23012,1.0
18088,1.0
37982,0.0
31332,1.0
97455,0.0
28901,0.0
107606,1.0
53258,0.0
14292,0.0
68232,1.0
51224,0.0
121386,1.0
31668,1.0
24628,1.0
95876,1.0
62793,1.0
83516,0.0
13221,1.0
100404,0.0
121453,0.0
21454,1.0
15937,1.0
70105,1.0
47540,0.0
57561,1.0
124103,0.0
125736,0.0
93362,1.0
95429,1.0
106943,1.0
100691,1.0
119948,1.0
15778,0.0
68342,0.0
24665,1.0
81029,0.0
70371,1.0
1386,1.0
35225,0.0
86204,0.0
126370,0.0
116184,0.0
89613,0.0
99020,0.0
18463,0.0
96637,0.0
114678,1.0
97639,0.0
75061,0.0
51744,0.0
44413,0.0
2389,0.0
105062,1.0
91464,1.0
55721,0.0
65726,1.0
8473,0.0
13488,1.0
58611,0.0
39607,0.0
41704,0.0
126579,1.0
44232,1.0
44021,0.0
67502,0.0
19525,0.0
110015,0.0
30960,1.0
2153,0.0
115097,1.0
63204,0.0
113849,0.0
95508,1.0
112350,1.0
20650,0.0
65517,0.0
116988,1.0
116210,0.0
15218,1.0
35387,1.0
20002,0.0
102927,0.0
92462,1.0
70950,1.0
76034,0.0
97177,1.0
51719,1.0
129201,1.0
35558,0.0
109398,0.0
65351,0.0
102482,0.0
17932,0.0
122276,1.0
57484,0.0
121069,0.0
41414,1.0
49839,0.0
48189,1.0
82445,1.0
108108,1.0
63984,0.0
105287,1.0
9385,1.0
25265,1.0
119844,0.0
33840,0.0
81815,0.0
83524,1.0
78999,1.0
46712,0.0
41188,1.0
5326,0.0
80176,0.0
46900,0.0
89219,1.0
17928,1.0
55425,1.0
88130,1.0
48354,1.0
105905,0.0
60943,1.0
101584,1.0
71388,1.0
77866,1.0
49223,1.0
106530,1.0
28676,1.0
39553,0.0
109597,1.0
62291,0.0
40177,1.0
33413,0.0
127599,0.0
66723,1.0
73698,0.0
27641,0.0
83891,1.0
51662,1.0
19833,0.0
63416,0.0
7645,0.0
86002,0.0
64457,0.0
109551,1.0
86553,0.0
17491,1.0
114667,1.0
59149,1.0
74892,1.0
15197,1.0
6867,0.0
111943,0.0
46720,1.0
67966,0.0
33341,1.0
50319,0.0
82927,0.0
14562,1.0
108335,1.0
97959,0.0
1026,0.0
26910,1.0
14054,1.0
109458,0.0
51772,1.0
15019,0.0
23664,1.0
6731,0.0
57753,0.0
29788,0.0
28336,1.0
2878,0.0
81675,0.0
50905,0.0
90850,1.0
29340,1.0
68731,1.0
115978,0.0
29829,0.0
82401,0.0
80083,1.0
42783,1.0
39020,0.0
46111,0.0
66327,1.0
43012,1.0
82776,0.0
48215,0.0
57441,0.0
55928,0.0
98446,1.0
121273,0.0
59385,1.0
27078,0.0
104661,0.0
111483,1.0
11558,0.0
83673,0.0
120382,1.0
82170,0.0
117397,1.0
59357,1.0
91983,0.0
119617,0.0
90639,1.0
